,Family,Type,Base Constraint,Base Extension Distance,Base Offset,Base is Attached,Location Line,Related to Mass,Room Bounding,Top Constraint,Top Extension Distance,Top Offset,Top is Attached,Unconnected Height,Area,Length,Design Option,Category,Family and Type,Type Id,Phase Created,Phase Demolished,Enable Analytical Model,Structural,Structural Usage,Type Name,Family Name,Horizontal Profile Offset,Vertical Profile Offset,Volume,Angle,Rebar Cover,Profile,Material,Host,Level,Moves With Nearby Elements,Offset from Host,Host Id,Height,Render Appearance,Render Appearance Properties,Tire Material,Elevation from Level,Default Elevation,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Type Comments,Instructions,Schedule Level,Diameter,Overall Length,Radius,Fire Rating,Complies To Buy American Act,Complies to NAFTA,Percentage of Recycled Content,MasterFormat Section Number,ADA Compliant,Copyright,Description,Industry Standards,Manufacturer,Material Note,Model,OmniClass Code,Technical Data,URL,Version,Warranty Information,Material and Finish,Installation Type,Depth,Width,Low Emitting Material,Buy American Act,MasterFormat Number,MasterFormat Title,Modeling Code,Accessory Material,Dimensional Limits,Total Depth,Total Height,Total Width,Frame Material,Reflective Material,Cabinet Material,Base Level,Column Location Mark,Column Style,Moves With Grids,Top Level,Structural Material,Base Connection,Top Connection,Ht,b,kr,t,A,Section Shape,Shape,W,Height Offset From Level,Perimeter,Absorptance,Roughness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Heat Transfer Coefficient (U),Thermal Mass,Thermal Resistance (R),Parking Length,Parking Width,pl,pw,Accesible Aisle,Mark,Mounting Height,Piping Material,Toilet - Bowl Material,Toilet - Seat Material,System Type,Flow Pressure,Cold Water Connection Diameter,Cold Water Connection Radius,Hot Water Connection Diameter,Hot Water Connection Radius,Waste Connection Diameter,Waste Connection Radius,Nominal Depth,Nominal Height,Nominal Width,Faucet,OmniClass,Product URL,Sink Material,CWFU,HWFU,WFU,CW Connection,HW Connection,Vent Connection,Waste Connection,Offset,Corner Mullion,Position,Thickness,Width on side 1,Width on side 2,Define Thermal Properties by,Bold,Italic,Text Font,Text Size,Offset from Path,Angled Joins,Baluster Offset,Landing Height Adjustment,Rail Connections,Railing Height,Tangent Joins,Use Landing Height Adjustment,Baluster Family,Baluster Length,Baluster Separation,Baluster Shape,Baluster Spacing Type (Stair Railing Only),Baluster Width,Balusters Per Tread (Stair Railing Only),Rail Shape,Railing Thickness,Railing Width,Desired Stair Height,Actual Number of Risers,Actual Riser Height,Actual Tread Depth,Desired Number of Risers,Tread/Riser Start Number,Maximum Riser Height,Minimum Run Width,Minimum Tread Depth,Construction Method,Function,Landing Type,Run Type,Cut Mark Type,Left Lateral Offset,Left Support,Left Support Type,Middle Support,Middle Support Number,Middle Support Type,Right Lateral Offset,Right Support,Right Support Type,Offset Base,Offset Top,Spacing Axis 1,Spacing Axis 2,Base Offset From Level,Cutoff Level,Cutoff Offset,Fascia Depth,Maximum Ridge Height,Rafter Cut,Slope,Default Thickness,Elevation at Bottom,Elevation at Top,Span Direction,Display in Hidden Views,Frame Type,Hardware,Type Mark,Glazing Material,Handle Material,Sill Height,Head Height,Wall Closure,Trim Projection Ext,Trim Projection Int,Trim Width,Door Material,Trim Projection Ext.,Trim Projection Int.,Trim Width Ext.,Trim Width Int.,Analytic Construction,Construction Type Id,Solar Heat Gain Coefficient,Visual Light Transmittance,Default Sill Height,Window Inset,Glass Pane Material,Sash Material,Categorize as,Wrapping at Ends,Wrapping at Inserts,Center Mark Visible,Justification,Number,Automatically Embed,Curtain Panel,Join Condition,Adjust for Mullion Size,Layout,Spacing,Border 1 Type,Border 2 Type,Interior Type
191913,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 8 1/4""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.23 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191914,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191915,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191916,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191917,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191918,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191919,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191920,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191921,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191922,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191923,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191924,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191925,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191926,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191929,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191930,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191931,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191934,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191935,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191936,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,1 SF,"1' - 9 5/32""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.15 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191937,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,1 SF,"1' - 10 3/4""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.16 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191938,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,5 SF,"8' - 1 1/4""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.70 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191939,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 8 1/4""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.23 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191940,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191941,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191942,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191943,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191944,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",,,,,,,,,,,,,2 SF,"2' - 9 1/2""",None,OST_CurtainWallMullions,"2.5"" x 5"" rectangular","2.5"" x 5"" rectangular",New Construction,None,,,,"2.5"" x 5"" rectangular",Rectangular Mullion,,,0.24 CF,0.00°,,None,18953,,Finished Floor,,,Storefront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0' - 0""",No,-3,"0' - 5""","0' - 1 1/4""","0' - 1 1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
